ID,Nama_Obat,Indikasi,Dosis,Kontraindikasi,Efek_Samping,Interaksi
1,Sanmol,"Sanmol digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.","Dewasa dan anak di atas 12 tahun : 1 tablet, 3-4 kali per hari. Anak - anak : 1/2 - 1 tablet, 3-4 kali sehari. Atau sesuai petunjuk dokter.",Penderita gangguan fungsi hati yang berat. Hipersensitivitas terhadap Paracetamol.,"Memar atau perdarahan yang tidak biasa, perut bagian atas kanan terasa sakit, hilang nafsu makan, urine berwarna gelap, feses berwarna seperti tanah liat (abu-abu pucat),
penyakit kuning yang ditandai dengan mata atau kulit yang menguning","Penurunan efektivitas paracetamol jika digunakan dengan cholestyramine, peningkatan risiko terjadinya efek samping paracetamol jika dikonsumsi bersama metoclopramide atau domperidone, peningkatan risiko terjadinya perdarahan akibat warfarin jika paracetamol digunakan dalam jangka panjang, peningkatan risiko terjadinya efek samping pada liver jika digunakan dengan isoniazid atau obat golongan barbiturat, seperti phenobarbital, penurunan efektivitas lamotrigine dalam mencegah kejang, peningkatan risiko terjadinya efek samping chloramphenicol atau busulfan"
2,Decolgen,"Decolgen digunakan untuk meredakan gejala flu seperti sakit kepala, demam, bersin-bersin dan hidung tersumbat.","Dewasa dan anak-anak usia 12 tahun ke atas : 1 tablet, 3–4 kali sehari.
Anak usia 6–12 tahun: ½ tablet, 3–4 kali sehari","Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik, penderita tekanan darah tinggi berat, dan orang yang sedang terapi antidepresan MAOI","Mengantuk, gangguan pencernaan, mulut kering, palpitasi, psikomotor, takikardia, aritmia, retensi urin.","Peningkatan risiko terjadinya efek samping paracetamol jika dikonsumsi bersama metoclopramide, domperidone, probenecid, atau isoniazid, peningkatan risiko terjadinya kerusakan hati jika digunakan dengan obat golongan barbiturat, seperti phenobarbital, penurunan efektivitas obat lamotrigine dalam mencegah kejang, penurunan efektivitas obat antihipertensi, peningkatan kadar chloramphenicol atau busulfan di dalam darah sehingga meningkatkan risiko terjadinya efek samping, peningkatan risiko terjadinya efek samping yang fatal jika digunakan bersama obat monoamine oxidase inhibitors (MAOI), seperti isocarboxazid atau selegiline, peningkatan risiko terjadinya efek samping kantuk jika digunakan dengan obat antidepresan, obat tidur, atau pelemas otot (muscle relaxant), peningkatan risiko terjadinya hipertensi jika digunakan dengan antidepresan trisiklik"
3,Alpara,"Alpara digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk.",Dewasa dan diatas 12 tahun : 3 kali sehari 1 kaplet. Anak 6-12 tahun : 3 kali sehari 0.5 kaplet,Penderita dengan gangguan jantung dan diabetes melitus. Penderita dengan gangguan fungsi hati yang berat. Penderita yang hipersensitif terhadap komponen obat ini.,"Pusing, sakit kepala, sakit maag, kantuk, mual dan muntah, keringat berlebihan, insomnia, sembelit, mulut, hidung, dan tenggorokan kering, gelisah","Peningkatan risiko terjadinya perdarahan jika digunakan dengan warfarin, peningkatan risiko terjadinya kerusakan hati jika digunakan dengan isoniazid, peningkatan risiko terjadinya hipertensi yang berakibat fatal jika digunakan bersama bromocriptine atau obat MAOI, seperti isocarboxazid, linezolid, atau phenelzine, peningkatan efek kantuk dan risiko terjadinya komplikasi jika digunakan dengan obat anti nyeri golongan opioid, obat anti ansietas, obat tidur, atau obat antipsikotik, peningkatan risiko terjadinya sindrom serotonin jika digunakan dengan obat golongan selective serotonin reuptake inhibitors (SSRI), atau monoamine oxidase inhibitors (MAOI), peningkatan risiko terjadinya efek samping dari dextromethorphan jika digunakan dengan amiodarone atau haloperidol"
4,Panadol,"Panadol digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, sakit pada otot dan menurunkan demam.","Dewasa dan anak usia lebih dari 12 tahun : 1 - 2 kaplet, 3-4 kali sehari (Maksimum 8 kaplet dalam 24 jam). Anak-anak usia 6-11 tahun : 1/2 - 1 kaplet, 3-4 kali sehari (maksimum 4 kaplet dalam 24 jam). Minimum interval penggunaan dosis adalah 4 jam. Jangan melebihi dosis yang dianjurkan, atau menurut aturan dokter.",Penderita yang hipersensitif terhadap paracetamol dan bahan lain dalam obat ini. Penderita dengan gangguan fungsi hati.,"Mual, muntah, nyeri lambung, kehilangan nafsu makan, ruam pada kulit","Penurunan penyerapan dan efektivitas paracetamol jika digunakan dengan cholestyramine, peningkatan risiko terjadinya efek samping paracetamol jika digunakan dengan metoclopramide dan domperidone, peningkatan risiko terjadinya kerusakan hati jika digunakan dengan phenobarbital, peningkatan risiko terjadinya efek samping jika digunakan dengan probenecid atau isoniazid, penurunan efektivitas lamotrigine, peningkatan risiko terjadinya efek samping chloramphenicol atau busulfan"
5,Acitral,"Acitral digunakan untuk mengatasi sakit maag, Tukak lambung & tukak usus halus, Hiperasiditas pencernaan, Gastritis, Gangguan pencernaan, Perut kembung.","Acitral Tablet Kunyah
Dewasa : 1–2 tablet kunyah, 3–4 kali sehari.
Acitral Suspensi
Dewasa dan anak usia di atas 12 tahun: 1–2 sendok takar (5–10 ml), 3–4 kali sehari.
Anak usia 6–12 tahun: ½–1 sendok takar (2½–5 ml), 3–4 kali sehari.",Jangan menggunakan obat ini untuk pasien yang memiliki riwayat alergi terhadap salah satu komponen Acitral Tablet. Jangan diberikan pada penderita gangguan fungsi ginjal yang berat.,"Gangguan pencernaan, mual, muntah, tidak nafsu makan, lelah","Peningkatan penyerapan aluminium hidroksida dan magnesium hidroksida dalam tubuh jika digunakan bersama vitamin C atau asam sitrat, penurunan penyerapan dan efektivitas antibiotik, seperti ciprofloxacin, hydroxychloroquine, cefdinir, rifampicin, atau antibiotik golongan tetrasiklin, penurunan efektivitas chlorpromazine, ketoconazole, levothyroxine, atau rosuvastatin, penurunan penyerapan suplemen zat besi untuk mengatasi anemia"
6,Promag,"Promag digunakan untuk meringankan gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung.",Dewasa dan anak di atas 12 tahun : 3-4 kali sehari 1-2 tablet. Anak-anak 6 - 12 tahun : 3 - 4 kali sehari 0.5 - 1 tablet. Atau menurut petunjuk dokter.,"Hati-hati pada pasien dengan gangguan fungsi ginjal, pemberian antasida yang mengandung magnesium dapat menimbulkan hipermagnesia. Hati-hati pemberian pada penderita diet fosfor rendah karena dapat mengurangi fosfor dalam darah.","Diare, sembelit, mual, sakit kepala atau pusing","Penurunan penyerapan antibiotik tetracycline, seperti doxycycline, atau quinolone, seperti ciprofloxacin, sehingga menurunkan efektivitasnya, penurunan efektivitas cimetidine, peningkatan risiko terjadinya efek samping dari ibuprofen dan quinidine, penurunan efektivitas obat tiroid, seperti levothyroxine"
7,Polysilane,"Polysilane digunakan untuk mengatasi sakit maag, rasa panas atau terbakar pada uluhati atau kerongkongan, Pirosis, Gastritis, Perut kembung.",Dewasa : 3-4 kali sehari 1-2 tablet. Anak di atas 4 tahun : 2 tablet per hari.,Penggunaan jangka panjang dan dosis tinggi dapat menyebabkan kerusakan fungsi ginjal. Tidak dianjurkan pemberian pada anak-anak di bawah 6 tahun kecuali atas petunjuk dokter. Hipersensitif dan penderita gangguan ginjal berat.,"Sembelit, diare, mual, muntah, deplesi fosfat","Kandungan aluminium, magnesium, atau simethicone di dalam Polysilane jenis ini dapat menurunkan penyerapan dan efektivitas obat golongan tetracycline, cimetidine, digoxin, levothyroxine, isoniazid"
8,Sumagesic,"Sumagesic digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi dan menurunkan demam.","Dewasa : 1 tablet, 3–4 kali sehari.
Anak-anak : 1/4–1/2 tablet, 3–4 kali sehari.","Penderita gangguan fungsi hati yang berat, hipersensitivitas terhadap Paracetamol.","Keringat berlebih, kehilangan selera makan, mual atau muntah, sakit perut atau kram perut, rasa sakit atau bengkak pada perut bagian atas","Penurunan penyerapan paracetamol jika digunakan bersama cholestyramine, penurunan efektivitas paracetamol jika digunakan bersama rifampicin, suplemen herbal St John’s wort, atau antikonvulsan tertentu, seperti carbamazepine, phenytoin, atau phenobarbital, peningkatan risiko terjadinya efek samping paracetamol jika digunakan bersama probenecid, domperidone, atau metoclopramide, peningkatan risiko terjadinya efek samping obat chloramphenicol, peningkatan risiko terjadinya memar atau perdarahan jika digunakan bersama warfarin atau coumarin."
9,Degirol,"Degirol digunakan untuk mengatasi sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, faringitis, periodontitis, laringitis dan angina, infeksi selaput lendir mulut seperti stomatitis.","Dosis : 1 tablet hisap, tiap 3–4 jam sehari. Dosis maksimal 8 tablet per hari.",Hipersensitif atau alergi terhadap Dequalinium Chloride.,"Sensasi terbakar, kesemutan, mati rasa, nyeri di lidah.","Belum diketahui secara pasti interaksi antarobat yang bisa terjadi jika Degirol digunakan bersama dengan obat-obat lain. Namun, tidak tertutup kemungkinan bahwa obat ini bisa berinteraksi dengan obat lain."
10,Sanadryl Dmp,Sanadryl digunakan untuk meringankan gejala batuk tidak berdahak yang menimbulkan rasa sakit atau batuk karena alergi.,Dewasa : 3-4 kali sehari 2 sendok takar (10 mL). Anak 6-12 tahun : 3-4 kali sehari 1 sendok takar (5 ml). Atau menurut petunjuk dokter.,Hipersensitif,"Mengantuk, pusing, gangguan koordinasi, sekresi saluran pernapasan mengental, mulut kering, kejang epileptiform (dosis besar)",Dapat mempotensiasi depresan sistem saraf pusat lainnya. Tindakan yang diperpanjang oleh monoamine oxidase inhibitors (MAOI)
