Query,Label
Berapa dosis untuk Sanmol?,Dosis
Berapa banyak Sanmol yang harus saya konsumsi?,Dosis
Bisakah anda memberi tahu saya dosis Sanmol?,Dosis
Seberapa sering saya harus mengonsumsi Sanmol?,Dosis
Bagaimana cara mengkonsumsi Decolgen?,Dosis
Berapa banyak Decolgen yang bisa saya konsumsi sehari?,Dosis
Umur 11 tahun perlu mengkonsumsi Decolgen berapa tablet?,Dosis
Decolgen bisa dikonsumsi berapa kali?,Dosis
Dosis yang disarankan untuk promag?,Dosis
Berapa dosis Diatabs yang dianjurkan?,Dosis
Apakah Astria boleh dikonsumsi lebih dari 1 kapsul sehari?,Dosis
Berapa dosis obat yang disarankan untuk diare?,Dosis
Dosis obat diare?,Dosis
Dosis yang dianjurkan untuk Diagit?,Dosis
Berapa kali sehari saya harus minum obat Alerhis?,Dosis
Dosis alpara untuk anak anak?,Dosis
Apakah anak-anak harus mengkonsumsi Decolgen 3x sehari?,Dosis
Bolehkah anak 7 tahun mengkonsumsi pamol?,Dosis
Seberapa sering anak-anak bisa mengkonsumsi diatabs?,Dosis
Dosis degirol untuk anak?,Dosis
Apa efek samping dari Sanmol?,Efek Samping
Apakah Sanmol membuat pusing?,Efek Samping
Apakah Sanmol membuat ngantuk?,Efek Samping
Apa saja efek samping Decolgen?,Efek Samping
Apakah Decolgen membuat mual?,Efek Samping
Apakah Decolgen mengakibatkan pusing?,Efek Samping
Apakah promag menyebabkan sakit kepala?,Efek Samping
Apakah normal mengalami sakit perut saat mengkonsumsi Diatabs?,Efek Samping
Apakah normal kulit mengelupas saat menggunakan benzolac?,Efek Samping
Alpara bikin ngantuk ngga?,Efek Samping
Acitral bikin mual?,Efek Samping
Efek samping yang terjadi setelah mengkonsumsi degirol?,Efek Samping
Apakah sakit kepala efek samping dari Ardium?,Efek Samping
Apakah normal diare setelah minum opilax?,Efek Samping
Antimo bikin mual tidak?,Efek Samping
Apakah obat batuk bisa menyebabkan sulit tidur?,Efek Samping
Betadine bikin iritasi?,Efek Samping
Perih saat menggunakan Betadine?,Efek Samping
Tremor setelah minum Paramex normal?,Efek Samping
Sembelit saat minum obat maag?,Efek Samping
Apa kegunaan Sanmol?,Indikasi
Sanmol digunakan untuk?,Indikasi
Sanmol obat apa?,Indikasi
Apakah Decolgen obat pilek?,Indikasi
Apakah Decolgen bisa mengobati batuk?,Indikasi
Obat apa yang bisa mengobati batuk?,Indikasi
Obat apa yang harus dikonsumsi saat maag kambuh,Indikasi
Apakah promag bisa mengobati maag?,Indikasi
Diatabs bisa mengobati apa saja?,Indikasi
Apakah ada obat untuk alergi rinitis?,Indikasi
Obat apa yang bisa digunakan untuk membersihkan telinga?,Indikasi
Apakah ada obat yang dapat mengobati sakit saat menstruasi?,Indikasi
Apakah acitral bisa untuk perut kembung?,Indikasi
Fungsi pamol buat apa?,Indikasi
Diatabs buat apa aja,Indikasi
Obat untuk rinitis,Indikasi
Kalau demam minum obat apa,Indikasi
Sakit perut,Indikasi
Demam,Indikasi
Obat sakit maag apa?,Indikasi
Apakah ada interaksi antara Sanmol dan aspirin?,Interaksi
Obat apa yang berinteraksi dengan Sanmol?,Interaksi
Apakah Sanmol berinteraksi dengan obat lain?,Interaksi
Apa yang terjadi jika saya mengonsumsi Sanmol dengan antibiotik?,Interaksi
Apakah Decolgen boleh dikonsumsi dengan obat hipertensi?,Interaksi
Decolgen boleh digunakan bersamaan dengan anti depresan?,Interaksi
Ada interaksi antara antibiotik dan obat maag?,Interaksi
Apakah aman mengkonsumsi Paratusin dengan obat penenang?,Interaksi
Apakah paracetamol berinteraksi dengan obat diabetes?,Interaksi
Risiko mengonsumsi Decolsin dengan obat anti-depresan?,Interaksi
Apa yang terjadi jika saya meminum Dulcolax dengan obat pencahar lain?,Interaksi
Apa yang terjadi jika saya mengkonsumsi Antihistamin dengan Konidin?,Interaksi
Konsumsi Mixagrip dengan Paracetamol lainnya?,Interaksi
Promag tidak boleh dikonsumsi dengan apa saja?,Interaksi
Apakah ada interaksi obat dengan Diatabs?,Interaksi
Apakah benzolac boleh digunakan bersamaan dengan tretinoin?,Interaksi
Apakah acitral boleh dicampur panadol?,Interaksi
Apa saja interaksi obat konidin?,Interaksi
Bolehkah Sanmol dan Decolgen diminum bersamaan?,Interaksi
Alpara dan Acitral,Interaksi
Apakah ibu hamil aman mengonsumsi Sangobion?,Kontraindikasi
Bolehkah pasien gangguan hati meminum Antimo?,Kontraindikasi
Siapa saja yang tidak boleh mengonsumsi obat Dicom?,Kontraindikasi
Maltofer untuk orang kelebihan zat besi?,Kontraindikasi
Apakah pasien dengan gangguan tiroid boleh mengonsumsi obat batuk?,Kontraindikasi
Apakah anak anak boleh diberikan obat maag?,Kontraindikasi
Apakah ibu menyusui aman menggunakan obat anti mabuk?,Kontraindikasi
Tuzalos aman untuk pasien diabetes tidak?,Kontraindikasi
Apakah pasien yang baru dioperasi boleh mengkonsumsi obat pencahar?,Kontraindikasi
Bolehkah orang yang alergi terhadap Ketokonazol minum Formyco?,Kontraindikasi
Nalgestan untuk orang dengan penyakit jantung?,Kontraindikasi
Oskadon untuk ibu hamil aman?,Kontraindikasi
Apakah pasien diabetes boleh mengkonsumsi Sanmol?,Kontraindikasi
Apa kontraindikasi untuk Feminax?,Kontraindikasi
Siapa saja yang tidak boleh mengonsumsi Sanmol?,Kontraindikasi
Apakah orang dengan darah tinggi boleh mengkonsumsi Decolgen?,Kontraindikasi
Apakah Decolgen aman untuk hipertensi?,Kontraindikasi
Siapa saja yang tidak boleh mengonsumsi Sanmol?,Kontraindikasi
Promag tidak boleh dikonsumsi oleh siapa saja?,Kontraindikasi
Apa kontraindikasi dari Diatabs?,Kontraindikasi
